bag_id,alan,footprint_area_m2,bouwjaar,status,gebruiksdoel,class6_points,roof_p30_z_nap_m,roof_p70_z_nap_m,roof_p90_z_nap_m,roof_span_m,ground_ring_points,ground_z_nap_m,h_measured_m
0503100000019001,A,49.27,1974,Pand in gebruik,industriefunctie,1327,3.850,3.950,3.950,0.100,4431,-1.550,5.500
0503100000021313,B,315.63,1982,Pand in gebruik,woonfunctie,4753,4.050,4.850,6.750,2.700,5085,-1.750,6.600
0503100000021314,B,66.68,1977,Pand in gebruik,woonfunctie,1678,3.550,5.950,7.150,3.600,3951,-1.350,7.300
0503100000021315,B,64.62,1977,Pand in gebruik,woonfunctie,1602,3.650,5.950,7.050,3.400,2450,-1.350,7.300
0503100000021316,B,51.69,1977,Pand in gebruik,woonfunctie,1319,4.050,5.150,5.950,1.900,2045,-1.050,6.200
0503100000021317,B,51.43,1977,Pand in gebruik,woonfunctie,1309,4.050,5.150,5.950,1.900,2115,-1.050,6.200
0503100000021318,B,51.80,1977,Pand in gebruik,woonfunctie,1319,3.950,5.150,5.950,2.000,1938,-1.050,6.200
0503100000021320,B,66.68,1977,Pand in gebruik,woonfunctie,1644,3.650,6.050,7.050,3.400,4138,-1.450,7.500
0503100000021321,B,64.63,1977,Pand in gebruik,woonfunctie,1580,3.850,6.050,7.050,3.200,3059,-1.450,7.500
0503100000021322,B,65.54,1977,Pand in gebruik,woonfunctie,1622,3.750,6.050,7.050,3.300,2788,-1.350,7.400
0503100000023519,A,14.34,1970,Pand in gebruik,overige gebruiksfunctie,455,2.250,2.250,2.250,0.000,749,-0.150,2.400
0503100000021323,B,66.66,1977,Pand in gebruik,woonfunctie,1626,3.650,6.050,7.050,3.400,3893,-1.450,7.500
0503100000020846,B,4.91,1981,Pand in gebruik,,159,0.850,0.850,0.850,0.000,2442,-1.550,2.400
0503100000021324,B,64.96,1977,Pand in gebruik,woonfunctie,1601,3.850,6.050,7.050,3.200,2806,-1.450,7.500
0503100000023520,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,447,2.150,2.250,2.250,0.100,1373,-0.150,2.400
0503100000021325,B,66.63,1977,Pand in gebruik,woonfunctie,1672,3.550,6.050,7.150,3.600,4133,-1.350,7.400
0503100000023521,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,449,2.150,2.250,2.250,0.100,748,-0.150,2.400
0503100000021326,B,64.77,1977,Pand in gebruik,woonfunctie,1613,3.750,6.050,7.050,3.300,2343,-1.350,7.400
0503100000023522,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,447,2.150,2.250,2.250,0.100,740,-0.150,2.400
0503100000021327,B,65.57,1977,Pand in gebruik,woonfunctie,1662,3.450,6.050,7.150,3.700,2414,-1.350,7.400
0503100000023523,A,14.35,1970,Pand in gebruik,overige gebruiksfunctie,460,2.150,2.150,2.250,0.100,1374,-0.150,2.300
0503100000021328,B,91.71,1986,Pand in gebruik,woonfunctie,2101,4.550,6.950,8.150,3.600,3031,-1.150,8.100
0503100000021329,B,45.26,1986,Pand in gebruik,,1094,1.150,1.150,1.150,0.000,3894,-1.250,2.400
0503100000020421,B,64.62,1971,Pand in gebruik,woonfunctie,2810,4.550,6.350,7.150,2.600,4227,-1.550,7.900
0503100000020422,B,66.18,1971,Pand in gebruik,woonfunctie,2810,4.550,6.350,7.150,2.600,4558,-1.550,7.900
0503100000024024,B,7.95,1981,Pand in gebruik,,271,0.850,0.950,0.950,0.100,2984,-1.550,2.500
0503100000023042,A,9.15,1966,Pand in gebruik,,231,0.150,0.150,0.250,0.100,1806,-1.850,2.000
0503100000023043,A,9.17,1966,Pand in gebruik,,150,0.850,1.050,1.050,0.200,2028,-1.750,2.800
