bag_id,footprint_area_m2,point_count,roof_density_pts_m2,below_10,has_dwellings
0503100000011818,60.01,2680,44.66,false,true
0503100000011819,62.59,1636,26.14,false,true
0503100000011820,60.31,2743,45.48,false,true
0503100000011821,61.07,1715,28.08,false,true
0503100000011822,61.06,2213,36.24,false,true
0503100000011823,60.39,2819,46.68,false,true
0503100000011824,60.89,2616,42.96,false,true
0503100000011825,60.98,3371,55.28,false,true
0503100000011826,60.92,3401,55.83,false,true
0503100000011827,55.79,3045,54.58,false,true
0503100000011828,49.37,2837,57.46,false,true
0503100000011829,65.01,3798,58.43,false,true
0503100000011830,55.65,3013,54.14,false,true
0503100000011831,55.73,3079,55.25,false,true
0503100000011832,55.08,3016,54.76,false,true
0503100000012850,10.72,315,29.39,false,true
0503100000012851,9.26,285,30.78,false,false
0503100000012852,9.28,645,69.51,false,false
0503100000010887,12.08,1122,92.86,false,false
0503100000010888,23.45,1582,67.47,false,false
0503100000010889,6.90,377,54.63,false,false
0503100000010890,1415.29,54099,38.22,false,true
0503100000010893,18.00,1313,72.94,false,true
0503100000010894,16.87,1453,86.14,false,true
0503100000010895,16.86,1521,90.20,false,true
0503100000010896,16.78,1480,88.22,false,true
0503100000010897,16.67,1538,92.23,false,true
0503100000010898,16.83,1504,89.38,false,true
0503100000010899,16.70,1609,96.32,false,true
0503100000011915,16.94,636,37.55,false,true
0503100000011916,16.86,626,37.14,false,true
0503100000011917,10.39,1560,150.09,false,true
0503100000011918,16.84,515,30.58,false,true
0503100000011919,16.86,597,35.41,false,true
0503100000011920,17.98,668,37.15,false,true
0503100000011921,64.98,2572,39.58,false,true
0503100000011922,16.84,605,35.92,false,true
0503100000011923,16.84,601,35.69,false,true
0503100000011924,18.12,526,29.02,false,true
0503100000011925,16.81,617,36.70,false,true
0503100000011926,16.86,644,38.19,false,true
0503100000013767,9.24,257,27.82,false,false
0503100000013768,9.26,272,29.39,false,false
0503100000013769,9.28,287,30.92,false,false
0503100000013770,71.60,1973,27.56,false,true
0503100000013771,9.26,251,27.11,false,false
0503100000013772,9.24,337,36.48,false,false
0503100000013773,10.65,1024,96.16,false,true
0503100000013774,10.34,751,72.65,false,false
0503100000013775,10.52,539,51.24,false,false
0503100000013776,10.33,709,68.63,false,false
0503100000013777,10.37,511,49.30,false,false
0503100000013778,50.95,3868,75.92,false,true
0503100000013779,51.84,4267,82.31,false,true
0503100000013780,51.85,3934,75.87,false,true
0503100000014644,76.25,2910,38.16,false,true
0503100000014645,53.20,2117,39.79,false,true
0503100000014646,9.21,340,36.93,false,false
0503100000014647,9.25,477,51.59,false,false
0503100000014648,51.73,2066,39.93,false,true
0503100000014649,51.79,2157,41.65,false,true
0503100000014650,9.18,412,44.88,false,false
0503100000014651,9.22,352,38.17,false,false
0503100000014652,9.22,485,52.61,false,false
0503100000014653,9.46,399,42.19,false,false
0503100000014654,53.40,2218,41.54,false,true
0503100000014655,9.25,365,39.48,false,false
0503100000013831,50.61,2791,55.15,false,true
0503100000013832,50.62,2650,52.35,false,true
0503100000013833,9.36,443,47.33,false,false
0503100000013835,9.05,537,59.37,false,false
0503100000013836,9.32,533,57.20,false,false
0503100000013837,9.27,543,58.56,false,false
0503100000013838,50.63,1790,35.35,false,true
0503100000013839,50.64,1826,36.06,false,true
0503100000013841,53.37,2993,56.08,false,true
0503100000013842,54.65,3133,57.33,false,true
0503100000013843,52.45,2906,55.40,false,true
0503100000013844,52.05,3293,63.27,false,true
0503100000013845,50.62,2885,56.99,false,true
0503100000013846,52.80,2939,55.66,false,true
0503100000013847,9.28,512,55.15,false,false
0503100000013848,9.09,516,56.74,false,false
0503100000013849,54.93,2707,49.28,false,true
0503100000013850,52.78,2995,56.75,false,true
0503100000013851,54.58,3185,58.35,false,true
0503100000013852,50.59,1793,35.45,false,true
0503100000013853,50.61,2852,56.35,false,true
0503100000013854,52.88,2951,55.81,false,true
0503100000013855,50.64,1789,35.33,false,true
0503100000013856,9.35,353,37.77,false,false
0503100000013857,9.41,341,36.24,false,false
0503100000013864,50.93,3907,76.71,false,true
0503100000013865,10.33,626,60.59,false,false
0503100000013866,50.67,3815,75.29,false,true
0503100000013867,50.95,3888,76.32,false,true
0503100000013868,50.66,3843,75.86,false,true
0503100000013869,52.10,3987,76.52,false,true
0503100000013870,50.66,3793,74.87,false,true
0503100000013871,50.67,3815,75.29,false,true
0503100000013872,50.71,3791,74.76,false,true
0503100000013873,51.99,4163,80.07,false,true
0503100000013874,10.65,882,82.83,false,true
0503100000013875,51.99,3582,68.90,false,true
0503100000015201,9.29,480,51.69,false,false
0503100000013876,50.71,3756,74.07,false,true
0503100000015202,9.28,497,53.54,false,false
0503100000013877,50.71,3822,75.37,false,true
0503100000013878,50.71,3787,74.68,false,true
0503100000013880,50.71,3797,74.87,false,true
0503100000013881,50.72,3853,75.96,false,true
0503100000014718,9.29,376,40.46,false,false
0503100000014719,51.64,2068,40.04,false,true
0503100000014720,9.24,674,72.92,false,false
0503100000014721,9.19,663,72.18,false,false
0503100000014722,9.04,376,41.60,false,false
0503100000014723,51.61,2126,41.19,false,true
0503100000014724,9.18,357,38.89,false,false
0503100000014725,52.81,2370,44.88,false,true
0503100000014726,51.80,2955,57.04,false,true
0503100000014727,9.09,342,37.64,false,false
0503100000014728,155.58,7027,45.17,false,true
0503100000014729,51.93,2469,47.55,false,true
0503100000014730,9.30,368,39.57,false,false
0503100000014731,51.66,2848,55.13,false,true
0503100000014732,9.28,363,39.11,false,false
0503100000014733,51.87,1955,37.69,false,true
0503100000014734,9.39,341,36.31,false,false
0503100000014735,9.18,339,36.92,false,false
0503100000014736,9.32,337,36.18,false,false
0503100000014737,9.24,352,38.11,false,false
0503100000014738,9.21,350,38.00,false,false
0503100000014739,51.67,1888,36.54,false,true
0503100000014740,9.23,383,41.48,false,false
0503100000014741,53.36,2061,38.63,false,true
0503100000014742,9.25,357,38.61,false,false
0503100000014743,9.24,334,36.13,false,false
0503100000014744,51.62,1903,36.87,false,true
0503100000014745,51.84,1905,36.75,false,true
0503100000014746,9.23,316,34.23,false,false
0503100000014747,51.56,1941,37.64,false,true
0503100000014748,53.14,1794,33.76,false,true
0503100000014749,9.25,350,37.85,false,false
0503100000014750,9.14,382,41.81,false,false
0503100000015286,9.08,337,37.12,false,false
0503100000015287,9.28,553,59.58,false,false
0503100000015288,9.22,372,40.35,false,false
0503100000015289,69.86,2682,38.39,false,true
0503100000015290,51.36,1893,36.86,false,true
0503100000015291,52.51,3054,58.16,false,true
0503100000015292,52.54,2993,56.97,false,true
0503100000015293,51.74,2081,40.22,false,true
0503100000015294,51.61,2000,38.75,false,true
0503100000015295,51.65,1985,38.43,false,true
0503100000015296,9.17,326,35.56,false,false
0503100000015297,52.54,2716,51.69,false,true
0503100000015298,52.64,3113,59.14,false,true
0503100000015299,53.92,2976,55.19,false,true
0503100000015300,52.54,3028,57.63,false,true
